state,district,village
Arunachal Pradesh,Tawang,Tawang Village
Arunachal Pradesh,Tawang,Mukto Village
Arunachal Pradesh,Tawang,Jang Village
Arunachal Pradesh,Papum Pare,Yupia Village
Arunachal Pradesh,Papum Pare,Doimukh Village
Arunachal Pradesh,Papum Pare,Sagalee Village
Assam,Kamrup Metropolitan,Guwahati Town
Assam,Kamrup Metropolitan,Dispur Village
Assam,Kamrup Metropolitan,Chandrapur Village
Assam,Jorhat,Teok Village
Assam,Jorhat,Mariani Village
Assam,Jorhat,Titabor Village
Manipur,Imphal West,Lamsang Village
Manipur,Imphal West,Patsoi Village
Manipur,Imphal West,Wangoi Village
Manipur,Ukhrul,Chingai Village
Manipur,Ukhrul,Jessami Village
Manipur,Ukhrul,Somdal Village
Meghalaya,East Khasi Hills,Mawlynnong Village
Meghalaya,East Khasi Hills,Sohra (Cherrapunji)
Meghalaya,East Khasi Hills,Mawsynram Village
Meghalaya,West Garo Hills,Phulbari Village
Meghalaya,West Garo Hills,Dalu Village
Meghalaya,West Garo Hills,Selsella Village
Mizoram,Aizawl,Sairang Village
Mizoram,Aizawl,Lengpui Village
Mizoram,Aizawl,Darlawn Village
Mizoram,Lunglei,Hnahthial Village
Mizoram,Lunglei,Tlabung Village
Mizoram,Lunglei,Lungsen Village
Nagaland,Kohima,Jakhama Village
Nagaland,Kohima,Tseminyu Village
Nagaland,Kohima,Khonoma Village
Nagaland,Dimapur,Chumukedima Village
Nagaland,Dimapur,Medziphema Village
Nagaland,Dimapur,Niuland Village
Sikkim,East Sikkim,Pakyong Village
Sikkim,East Sikkim,Singtam Village
Sikkim,East Sikkim,Rongli Village
Sikkim,West Sikkim,Pelling Village
Sikkim,West Sikkim,Dentam Village
Sikkim,West Sikkim,Yuksom Village
Tripura,West Tripura,Ranirbazar Village
Tripura,West Tripura,Jirania Village
Tripura,West Tripura,Mohanpur Village
Tripura,South Tripura,Belonia Town
Tripura,South Tripura,Sabroom Village
Tripura,South Tripura,Santirbazar Village
