village,timestamp,ph,turbidity,tds,dissolved_oxygen
Mawlynnong Village,2026-08-13 12:00:00,7.2,1.2,150.0,7.8
Mawlynnong Village,2026-08-13 13:00:00,7.1,1.3,148.0,7.9
Mawlynnong Village,2026-08-13 14:00:00,7.3,1.1,152.0,8.0
Mawlynnong Village,2026-08-13 15:00:00,7.2,1.2,151.0,7.7
Mawlynnong Village,2026-08-13 16:00:00,7.2,1.2,150.0,7.8
Sohra (Cherrapunji),2026-08-13 12:00:00,6.8,4.2,85.0,6.5
Sohra (Cherrapunji),2026-08-13 13:00:00,6.7,4.5,88.0,6.2
Sohra (Cherrapunji),2026-08-13 14:00:00,6.9,4.0,84.0,6.6
Sohra (Cherrapunji),2026-08-13 15:00:00,6.8,4.1,86.0,6.4
Sohra (Cherrapunji),2026-08-13 16:00:00,6.8,4.3,87.0,6.3
Guwahati Town,2026-08-13 12:00:00,7.9,8.5,420.0,4.2
Guwahati Town,2026-08-13 13:00:00,8.0,9.0,430.0,4.0
Guwahati Town,2026-08-13 14:00:00,8.1,8.8,425.0,4.1
Guwahati Town,2026-08-13 15:00:00,7.8,8.2,415.0,4.4
Guwahati Town,2026-08-13 16:00:00,7.9,8.4,418.0,4.3
